"model","em","iteration","model_converged","model_runtime","model_name"
"Sablefish2015","recdev_1","iteration_3","TRUE","27.440062268575","Sablefish2015-em_recdev_1-iteration_3"
"Sablefish2015","recdev_1","iteration_4","FALSE","20.5113293528557","Sablefish2015-em_recdev_1-iteration_4"
"Sablefish2015","recdev_1","iteration_5","TRUE","27.8314571817716","Sablefish2015-em_recdev_1-iteration_5"
"Sablefish2015","recdev_1","iteration_6","TRUE","56.679080983003","Sablefish2015-em_recdev_1-iteration_6"
"Sablefish2015","recdev_1","iteration_7","FALSE","30.8715170820554","Sablefish2015-em_recdev_1-iteration_7"
"Sablefish2015","recdev_1","iteration_8","TRUE","29.2882140000661","Sablefish2015-em_recdev_1-iteration_8"
"Sablefish2015","recdev_1","iteration_9","TRUE","27.4447227835655","Sablefish2015-em_recdev_1-iteration_9"
"Sablefish2015","recdev_2","iteration_1","TRUE","30.7042003671328","Sablefish2015-em_recdev_2-iteration_1"
"Sablefish2015","recdev_2","iteration_10","TRUE","28.8569326162338","Sablefish2015-em_recdev_2-iteration_10"
"Sablefish2015","recdev_2","iteration_2","TRUE","49.7948344985644","Sablefish2015-em_recdev_2-iteration_2"
"Sablefish2015","recdev_2","iteration_3","TRUE","28.8386022170385","Sablefish2015-em_recdev_2-iteration_3"
"Sablefish2015","recdev_2","iteration_4","TRUE","45.1716614166896","Sablefish2015-em_recdev_2-iteration_4"
"Sablefish2015","recdev_2","iteration_5","TRUE","28.2993535836538","Sablefish2015-em_recdev_2-iteration_5"
"Sablefish2015","recdev_2","iteration_6","FALSE","18.4833481987317","Sablefish2015-em_recdev_2-iteration_6"
"Sablefish2015","recdev_2","iteration_7","FALSE","51.8159508864085","Sablefish2015-em_recdev_2-iteration_7"
"Sablefish2015","recdev_2","iteration_8","FALSE","12.464505314827","Sablefish2015-em_recdev_2-iteration_8"
"Sablefish2015","recdev_2","iteration_9","TRUE","27.8848530809085","Sablefish2015-em_recdev_2-iteration_9"
"Sablefish2015","recdev_3","iteration_1","TRUE","30.8244126001994","Sablefish2015-em_recdev_3-iteration_1"
"Sablefish2015","recdev_3","iteration_10","TRUE","29.8782533009847","Sablefish2015-em_recdev_3-iteration_10"
"Sablefish2015","recdev_3","iteration_2","TRUE","29.5390361825625","Sablefish2015-em_recdev_3-iteration_2"
"Sablefish2015","recdev_3","iteration_3","TRUE","43.9107617974281","Sablefish2015-em_recdev_3-iteration_3"
"Sablefish2015","recdev_3","iteration_4","TRUE","46.8803636153539","Sablefish2015-em_recdev_3-iteration_4"
"Sablefish2015","recdev_3","iteration_5","TRUE","27.6647751530011","Sablefish2015-em_recdev_3-iteration_5"
"Sablefish2015","recdev_3","iteration_6","FALSE","33.4563522656759","Sablefish2015-em_recdev_3-iteration_6"
"Sablefish2015","recdev_3","iteration_7","FALSE","39.184426565965","Sablefish2015-em_recdev_3-iteration_7"
"Sablefish2015","recdev_3","iteration_8","FALSE","13.4949073155721","Sablefish2015-em_recdev_3-iteration_8"
"Sablefish2015","recdev_3","iteration_9","TRUE","45.6311050653458","Sablefish2015-em_recdev_3-iteration_9"
"Simple","recdev_1","iteration_1","TRUE","3.42454744974772","Simple-em_recdev_1-iteration_1"
"Simple","recdev_1","iteration_10","TRUE","1.8027604341507","Simple-em_recdev_1-iteration_10"
"Simple","recdev_1","iteration_2","TRUE","3.45214745203654","Simple-em_recdev_1-iteration_2"
"Simple","recdev_1","iteration_3","TRUE","1.73629144827525","Simple-em_recdev_1-iteration_3"
"Simple","recdev_1","iteration_4","TRUE","3.1595129330953","Simple-em_recdev_1-iteration_4"
"Simple","recdev_1","iteration_5","TRUE","3.65535828272502","Simple-em_recdev_1-iteration_5"
"Simple","recdev_1","iteration_6","TRUE","3.45575515031815","Simple-em_recdev_1-iteration_6"
"Simple","recdev_1","iteration_7","TRUE","3.43880896965663","Simple-em_recdev_1-iteration_7"
"Simple","recdev_1","iteration_8","TRUE","3.27460736433665","Simple-em_recdev_1-iteration_8"
"Simple","recdev_1","iteration_9","TRUE","3.20843855142593","Simple-em_recdev_1-iteration_9"
"Simple","recdev_2","iteration_1","TRUE","6.55969421863556","Simple-em_recdev_2-iteration_1"
"Simple","recdev_2","iteration_10","TRUE","3.38441231648127","Simple-em_recdev_2-iteration_10"
"Simple","recdev_2","iteration_2","TRUE","6.50930206378301","Simple-em_recdev_2-iteration_2"
"Simple","recdev_2","iteration_3","TRUE","3.11772018273671","Simple-em_recdev_2-iteration_3"
"Simple","recdev_2","iteration_4","TRUE","2.9970631480217","Simple-em_recdev_2-iteration_4"
"Simple","recdev_2","iteration_5","TRUE","2.94921823342641","Simple-em_recdev_2-iteration_5"
"Simple","recdev_2","iteration_6","TRUE","3.49632158279419","Simple-em_recdev_2-iteration_6"
"Simple","recdev_2","iteration_7","TRUE","3.59896751642227","Simple-em_recdev_2-iteration_7"
